student_id,attendance_pct,homework_pct,midterm_score,study_hours_per_week,pass,absence_rate,performance_score,study_efficiency,low_engagement_flag
77,81,87,85,10,1,0.19,84.39999999999999,8.5,0
78,47,53,55,3,0,0.53,52.0,18.333333333333332,1
79,88,90,87,12,1,0.12,88.2,7.25,0
80,72,70,68,7,1,0.28,69.8,9.714285714285714,0
81,56,54,56,4,0,0.44,55.400000000000006,14.0,1
82,85,82,80,9,1,0.15,82.1,8.88888888888889,0
83,38,42,46,2,0,0.62,42.4,23.0,1
84,78,75,73,8,1,0.22,75.1,9.125,0
85,90,89,88,11,1,0.1,88.9,8.0,0
86,61,60,58,5,0,0.39,59.5,11.6,1
87,48,44,49,3,0,0.52,47.199999999999996,16.333333333333332,1
88,87,85,83,10,1,0.13,84.8,8.3,0
89,69,67,65,6,1,0.31,66.8,10.833333333333334,1
90,54,52,55,4,0,0.46,53.8,13.75,1
91,93,92,90,13,1,0.07,91.5,6.923076923076923,0
92,84,83,81,10,1,0.16,82.5,8.1,0
93,60,58,56,4,0,0.4,57.8,14.0,1
94,75,73,70,7,1,0.25,72.4,10.0,0
95,41,43,48,3,0,0.59,44.4,16.0,1
96,89,92,94,14,1,0.11,91.9,6.714285714285714,0
97,79,77,75,8,1,0.21,76.8,9.375,0
98,55,56,58,5,0,0.45,56.5,11.6,1
99,91,90,88,12,1,0.09,89.5,7.333333333333333,0
100,52,50,53,4,0,0.48,51.800000000000004,13.25,1
